airline,origin,dest,month,day_of_week,sched_dep_hour,distance,is_weekend,is_peak_hour,is_holiday_season,temperature_f,wind_speed_mph,precipitation_in,visibility_miles,origin_congestion_index,dest_congestion_index,delay_minutes,delayed
F9,MCO,ATL,11,5,7,1130,1,1,1,21.3,18.9,0.001,9.66,0.6,0.8,47,1
UA,SFO,DEN,9,0,8,2199,0,1,0,53.5,9.7,0.045,9.38,0.8,0.6,0,0
DL,SEA,ATL,6,4,22,922,0,0,0,58.3,6.2,0.011,10.0,0.5,0.8,0,0
UA,SEA,SFO,10,5,14,2345,1,0,0,12.4,3.9,0.021,9.26,0.5,0.8,0,0
AA,LAS,DFW,12,3,22,601,0,0,1,65.9,25.5,0.034,7.03,0.55,0.7,17,1
F9,MCO,LAX,1,2,11,1531,0,0,0,52.0,9.9,0.005,10.0,0.6,0.75,0,0
F9,SFO,MCO,3,2,8,753,0,1,0,40.6,20.2,0.035,8.55,0.8,0.6,15,1
NK,SFO,SEA,1,1,21,1460,0,0,0,33.2,1.4,0.043,10.0,0.8,0.5,0,0
WN,JFK,SFO,4,6,19,1572,1,0,0,55.5,10.1,0.054,8.71,0.9,0.8,0,0
F9,DEN,SEA,9,2,11,1788,0,0,0,54.1,8.2,0.007,10.0,0.6,0.5,0,0
AS,SFO,LAS,3,1,16,2595,0,1,0,85.9,5.2,0.006,7.54,0.8,0.55,0,0
B6,DEN,DFW,5,4,7,296,0,1,0,52.3,7.0,0.036,7.67,0.6,0.7,56,1
UA,LAX,MCO,5,0,18,1010,0,1,0,80.2,16.0,0.012,10.0,0.75,0.6,39,1
WN,ORD,SFO,11,4,9,2076,0,0,1,43.6,18.5,0.028,9.67,0.85,0.8,30,1
B6,DFW,ATL,12,2,20,1023,0,0,1,48.8,7.2,0.118,9.65,0.7,0.8,0,0
NK,LAX,DEN,4,3,13,2372,0,0,0,45.3,13.7,0.006,7.95,0.75,0.6,0,0
AS,ATL,LAX,9,1,15,1574,0,0,0,75.9,4.2,0.046,7.68,0.8,0.75,29,1
AS,DFW,SFO,9,3,15,527,0,0,0,80.8,4.5,0.037,7.46,0.7,0.8,0,0
AS,ORD,SFO,11,2,17,438,0,1,1,34.1,17.6,0.062,7.37,0.85,0.8,101,1
F9,LAS,SEA,10,3,8,991,0,1,0,46.4,6.5,0.027,8.7,0.55,0.5,0,0
AS,LAS,ORD,7,2,8,1912,0,1,0,48.4,14.7,0.064,8.38,0.55,0.85,0,0
WN,DFW,SFO,8,3,5,1382,0,0,0,47.3,12.8,0.003,7.44,0.7,0.8,0,0
F9,SEA,ORD,7,0,16,1891,0,1,0,41.2,15.1,0.018,9.22,0.5,0.85,0,0
UA,LAX,DFW,12,5,7,2130,1,1,1,41.7,34.4,0.004,10.0,0.75,0.7,102,1
NK,DFW,ATL,7,0,21,697,0,0,0,40.5,4.9,0.006,9.94,0.7,0.8,0,0
NK,MCO,LAX,10,4,6,2340,0,0,0,76.7,11.9,0.006,6.79,0.6,0.75,0,0
AS,LAS,DFW,8,1,6,280,0,0,0,79.5,5.8,0.015,10.0,0.55,0.7,0,0
AA,SEA,JFK,7,0,15,378,0,0,0,77.5,12.6,0.056,6.44,0.5,0.9,50,1
F9,MCO,JFK,9,6,13,2516,1,0,0,50.3,13.9,0.069,9.34,0.6,0.9,0,0
F9,ATL,LAX,1,0,9,1667,0,0,0,9.1,13.3,0.027,7.32,0.8,0.75,0,0
AA,LAS,ATL,9,3,10,242,0,0,0,40.6,15.3,0.049,10.0,0.55,0.8,0,0
B6,LAS,SEA,6,5,22,1861,1,0,0,62.4,11.2,0.007,9.68,0.55,0.5,0,0
NK,JFK,LAX,2,6,18,2524,1,1,0,67.7,18.0,0.016,10.0,0.9,0.75,105,1
AS,ATL,LAS,8,2,19,1612,0,0,0,34.1,1.1,0.007,8.02,0.8,0.55,15,1
DL,LAX,LAS,11,1,17,876,0,1,1,34.6,1.8,0.055,7.62,0.75,0.55,47,1
F9,DEN,ATL,8,4,15,2351,0,0,0,78.5,6.8,0.053,8.09,0.6,0.8,61,1
WN,SFO,SEA,5,0,20,759,0,0,0,16.2,6.7,0.148,9.92,0.8,0.5,0,0
WN,SFO,LAS,2,1,5,2249,0,0,0,59.1,21.9,0.035,8.25,0.8,0.55,129,1
DL,MCO,LAS,1,3,6,1168,0,0,0,43.6,19.4,0.017,8.79,0.6,0.55,0,0
NK,SEA,JFK,7,3,7,2063,0,1,0,51.4,15.4,0.007,8.1,0.5,0.9,51,1
AA,SFO,SEA,5,1,22,1470,0,0,0,68.8,14.4,0.011,9.67,0.8,0.5,0,0
NK,ORD,LAX,4,6,14,2455,1,0,0,55.9,5.2,0.057,8.21,0.85,0.75,0,0
F9,JFK,MCO,9,6,5,2264,1,0,0,12.3,7.9,0.011,7.07,0.9,0.6,0,0
UA,JFK,ATL,5,5,18,2104,1,1,0,42.4,11.6,0.029,5.75,0.9,0.8,67,1
AA,SFO,MCO,9,0,6,2229,0,0,0,39.3,11.6,0.023,10.0,0.8,0.6,15,1
DL,DEN,MCO,9,2,11,771,0,0,0,47.6,7.1,0.008,8.6,0.6,0.6,0,0
B6,LAX,LAS,12,6,20,1317,1,0,1,69.3,6.8,0.003,10.0,0.75,0.55,0,0
WN,LAX,DEN,4,4,15,931,0,0,0,67.3,17.1,0.046,7.25,0.75,0.6,0,0
UA,DEN,LAS,3,1,10,902,0,0,0,57.4,9.1,0.014,8.78,0.6,0.55,0,0
UA,DFW,SEA,11,4,10,1329,0,0,1,62.8,5.4,0.088,4.2,0.7,0.5,0,0
DL,JFK,LAS,11,4,6,636,0,0,1,46.3,1.6,0.05,7.25,0.9,0.55,103,1
AS,ORD,MCO,3,5,14,1043,1,0,0,73.7,15.8,0.01,9.29,0.85,0.6,15,1
UA,ATL,LAX,7,4,14,1157,0,0,0,69.7,3.9,0.036,9.6,0.8,0.75,0,0
NK,ATL,LAS,10,0,14,1992,0,0,0,87.2,1.7,0.036,7.73,0.8,0.55,0,0
AS,LAX,JFK,9,4,18,1588,0,1,0,81.8,16.0,0.034,8.69,0.75,0.9,38,1
AA,MCO,LAS,4,1,8,376,0,1,0,61.5,0.0,0.011,10.0,0.6,0.55,0,0
DL,DFW,JFK,7,6,10,1501,1,0,0,82.7,10.0,0.031,8.18,0.7,0.9,0,0
DL,SEA,DEN,4,5,5,1928,1,0,0,49.1,17.5,0.023,9.86,0.5,0.6,0,0
F9,SEA,DFW,1,0,15,1650,0,0,0,45.0,9.0,0.025,9.44,0.5,0.7,0,0
AS,SEA,ATL,7,0,20,1740,0,0,0,79.9,13.1,0.009,4.73,0.5,0.8,40,1
DL,ATL,SEA,5,6,22,2105,1,0,0,36.7,1.7,0.02,10.0,0.8,0.5,0,0
B6,ORD,ATL,1,1,16,492,0,1,0,35.2,8.8,0.109,6.15,0.85,0.8,57,1
F9,SEA,ATL,11,4,16,1889,0,1,1,67.7,2.0,0.013,8.82,0.5,0.8,0,0
DL,ORD,ATL,5,4,7,720,0,1,0,77.1,8.1,0.012,4.52,0.85,0.8,85,1
B6,LAS,MCO,12,4,5,2556,0,0,1,33.4,6.9,0.072,5.48,0.55,0.6,68,1
B6,LAS,SEA,10,0,5,749,0,0,0,66.0,5.5,0.119,9.26,0.55,0.5,0,0
F9,SEA,LAS,11,6,13,2164,1,0,1,88.9,3.2,0.04,5.96,0.5,0.55,0,0
AS,DFW,DEN,11,0,6,1291,0,0,1,50.1,11.1,0.03,5.25,0.7,0.6,47,1
WN,SFO,ATL,10,5,16,1098,1,1,0,18.9,13.9,0.006,6.88,0.8,0.8,0,0
NK,JFK,DFW,5,6,21,799,1,0,0,48.8,12.8,0.066,8.79,0.9,0.7,29,1
UA,ATL,DFW,2,5,5,2318,1,0,0,76.0,18.0,0.038,5.05,0.8,0.7,15,1
NK,MCO,LAS,12,2,11,1464,0,0,1,49.7,11.1,0.099,5.0,0.6,0.55,0,0
DL,ATL,LAS,5,2,14,1674,0,0,0,18.5,12.6,0.043,8.56,0.8,0.55,28,1
AA,DEN,SFO,9,1,20,260,0,0,0,61.6,17.8,0.083,8.45,0.6,0.8,98,1
B6,LAX,SEA,2,1,19,1816,0,0,0,35.6,10.3,0.035,8.39,0.75,0.5,0,0
DL,JFK,DEN,11,5,20,1003,1,0,1,60.6,15.9,0.069,10.0,0.9,0.6,0,0
AS,SEA,JFK,8,4,19,1341,0,0,0,44.6,7.2,0.086,9.39,0.5,0.9,0,0
AS,DEN,SFO,4,5,10,1002,1,0,0,64.8,8.2,0.109,8.57,0.6,0.8,0,0
B6,ATL,DEN,1,3,20,587,0,0,0,77.3,11.0,0.096,8.84,0.8,0.6,0,0
B6,ATL,DFW,2,4,13,602,0,0,0,41.0,3.2,0.005,8.07,0.8,0.7,15,1
F9,LAX,ORD,10,1,19,2416,0,0,0,79.5,10.1,0.057,6.5,0.75,0.85,116,1
DL,SFO,MCO,8,3,6,1465,0,0,0,49.2,1.1,0.003,8.22,0.8,0.6,0,0
UA,LAS,SFO,8,1,16,2516,0,1,0,20.1,9.6,0.02,6.9,0.55,0.8,27,1
AS,SFO,ORD,3,3,21,900,0,0,0,54.5,9.1,0.02,8.45,0.8,0.85,0,0
DL,ORD,MCO,5,4,5,959,0,0,0,34.1,13.2,0.011,10.0,0.85,0.6,0,0
F9,MCO,SFO,1,0,17,1083,0,1,0,26.4,25.3,0.048,6.14,0.6,0.8,48,1
AS,LAX,SEA,9,1,10,1735,0,0,0,79.0,12.3,0.023,7.69,0.75,0.5,60,1
NK,JFK,MCO,7,0,22,964,0,0,0,72.2,10.1,0.029,6.48,0.9,0.6,0,0
DL,DFW,DEN,10,2,9,1942,0,0,0,78.2,14.1,0.113,9.78,0.7,0.6,0,0
NK,JFK,DEN,4,2,14,506,0,0,0,64.8,0.9,0.082,10.0,0.9,0.6,0,0
WN,LAS,LAX,11,2,9,2233,0,0,1,51.2,17.4,0.011,10.0,0.55,0.75,66,1
F9,JFK,LAX,2,4,11,2102,0,0,0,63.3,0.0,0.048,10.0,0.9,0.75,15,1
WN,ATL,ORD,7,2,21,992,0,0,0,37.4,8.3,0.038,8.25,0.8,0.85,83,1
DL,MCO,SEA,5,2,8,2502,0,1,0,66.2,13.9,0.005,10.0,0.6,0.5,0,0
AA,SFO,ORD,2,1,15,680,0,0,0,28.4,17.9,0.05,8.17,0.8,0.85,0,0
F9,LAS,SFO,8,5,8,2327,1,1,0,23.2,6.5,0.154,8.04,0.55,0.8,50,1
DL,ORD,LAS,3,6,12,1832,1,0,0,54.1,2.2,0.111,9.79,0.85,0.55,0,0
F9,DEN,LAX,8,0,6,1152,0,0,0,73.3,6.9,0.069,9.2,0.6,0.75,0,0
AS,LAX,ORD,11,0,12,2444,0,0,1,72.7,4.7,0.025,8.58,0.75,0.85,0,0
WN,LAX,SFO,7,1,12,590,0,0,0,96.8,8.6,0.019,8.81,0.75,0.8,52,1
F9,LAS,JFK,11,2,7,2137,0,1,1,63.2,16.3,0.075,9.79,0.55,0.9,107,1
WN,MCO,ORD,8,6,21,2376,1,0,0,66.8,8.6,0.061,10.0,0.6,0.85,0,0
AS,JFK,ATL,2,4,15,1249,0,0,0,46.5,18.2,0.066,10.0,0.9,0.8,0,0
NK,LAX,JFK,7,1,20,1352,0,0,0,59.4,8.8,0.008,7.52,0.75,0.9,31,1
WN,ATL,DFW,11,5,13,888,1,0,1,39.9,19.8,0.169,8.83,0.8,0.7,97,1
F9,SEA,DFW,9,1,10,743,0,0,0,62.6,10.3,0.059,5.34,0.5,0.7,0,0
WN,LAX,DFW,2,3,22,814,0,0,0,58.0,13.3,0.047,8.43,0.75,0.7,82,1
NK,ORD,SEA,7,4,19,1353,0,0,0,20.9,11.2,0.01,8.18,0.85,0.5,77,1
DL,ORD,JFK,6,4,15,382,0,0,0,60.9,16.1,0.015,10.0,0.85,0.9,0,0
UA,ATL,LAS,9,6,19,2066,1,0,0,21.4,2.1,0.015,10.0,0.8,0.55,0,0
WN,SEA,MCO,2,0,15,2317,0,0,0,50.6,14.6,0.227,5.38,0.5,0.6,0,0
DL,LAS,SEA,11,4,18,1024,0,1,1,59.7,8.6,0.03,8.24,0.55,0.5,0,0
UA,MCO,DEN,7,0,18,2287,0,1,0,86.1,2.7,0.085,8.86,0.6,0.6,0,0
NK,ORD,MCO,5,4,11,1517,0,0,0,78.5,6.7,0.052,8.53,0.85,0.6,0,0
DL,DFW,LAS,9,3,8,2538,0,1,0,64.7,15.9,0.004,6.72,0.7,0.55,42,1
AA,SEA,JFK,12,0,17,793,0,1,1,59.8,11.5,0.013,8.06,0.5,0.9,0,0
UA,MCO,SFO,4,4,13,696,0,0,0,39.2,16.5,0.066,5.84,0.6,0.8,15,1
WN,SFO,JFK,2,5,19,1540,1,0,0,26.4,12.2,0.028,10.0,0.8,0.9,15,1
B6,DEN,LAS,12,1,13,950,0,0,1,43.0,11.1,0.088,9.13,0.6,0.55,0,0
AS,LAX,DFW,6,2,12,1531,0,0,0,56.4,9.2,0.092,5.4,0.75,0.7,71,1
DL,LAS,DFW,6,6,22,691,1,0,0,58.9,17.7,0.051,6.36,0.55,0.7,15,1
AA,ORD,MCO,5,6,7,1772,1,1,0,46.7,3.9,0.039,10.0,0.85,0.6,0,0
F9,DEN,LAS,2,5,20,1737,1,0,0,76.7,16.3,0.045,6.12,0.6,0.55,0,0
WN,SFO,LAX,1,0,16,925,0,1,0,68.4,10.2,0.024,8.61,0.8,0.75,83,1
B6,SEA,LAS,8,3,6,1929,0,0,0,28.2,11.3,0.053,7.75,0.5,0.55,0,0
AA,DEN,SFO,9,3,20,457,0,0,0,82.2,12.2,0.06,10.0,0.6,0.8,0,0
AS,SFO,LAX,10,6,13,2025,1,0,0,80.5,7.6,0.003,8.35,0.8,0.75,0,0
WN,LAX,SFO,1,5,13,1143,1,0,0,39.3,7.2,0.029,8.2,0.75,0.8,0,0
NK,LAX,MCO,3,1,9,1334,0,0,0,55.1,10.7,0.006,10.0,0.75,0.6,0,0
DL,SFO,ATL,7,1,12,881,0,0,0,52.9,4.6,0.046,7.67,0.8,0.8,0,0
NK,DFW,DEN,12,0,7,1705,0,1,1,70.5,15.5,0.028,9.34,0.7,0.6,0,0
AA,LAS,LAX,10,1,12,334,0,0,0,70.6,9.2,0.025,8.35,0.55,0.75,0,0
F9,JFK,SFO,6,5,19,978,1,0,0,63.3,14.6,0.088,8.57,0.9,0.8,35,1
UA,DEN,ORD,4,3,19,2234,0,0,0,52.2,15.9,0.023,7.8,0.6,0.85,0,0
F9,ORD,LAS,11,3,15,1922,0,0,1,59.6,7.2,0.001,8.9,0.85,0.55,0,0
B6,DFW,LAX,6,3,21,209,0,0,0,71.4,11.0,0.099,8.07,0.7,0.75,18,1
AS,LAS,JFK,3,5,18,2301,1,1,0,46.3,10.8,0.051,7.9,0.55,0.9,16,1
AS,DEN,SEA,12,0,12,1810,0,0,1,60.3,13.2,0.023,7.49,0.6,0.5,0,0
AA,MCO,DEN,6,0,19,2405,0,0,0,59.2,12.8,0.015,10.0,0.6,0.6,0,0
AA,DFW,SFO,8,0,17,2339,0,1,0,65.1,2.8,0.027,7.79,0.7,0.8,79,1
B6,DFW,DEN,2,2,13,1977,0,0,0,36.2,4.4,0.024,10.0,0.7,0.6,0,0
UA,ORD,SEA,1,4,5,1222,0,0,0,82.5,5.7,0.012,10.0,0.85,0.5,0,0
NK,JFK,SEA,5,2,22,1559,0,0,0,58.5,7.7,0.036,10.0,0.9,0.5,0,0
AS,DFW,SEA,4,6,11,272,1,0,0,94.4,8.2,0.048,10.0,0.7,0.5,0,0
AS,SEA,DEN,9,2,22,1265,0,0,0,72.4,6.6,0.065,10.0,0.5,0.6,96,1
B6,SEA,DFW,4,5,8,2184,1,1,0,48.1,6.9,0.02,8.35,0.5,0.7,0,0
DL,LAX,ORD,10,1,16,1530,0,1,0,50.6,7.6,0.016,9.38,0.75,0.85,0,0
NK,MCO,ATL,5,1,14,2237,0,0,0,67.6,10.2,0.003,8.97,0.6,0.8,0,0
UA,DFW,ATL,11,3,22,820,0,0,1,52.8,10.1,0.001,8.93,0.7,0.8,0,0
DL,SFO,LAS,4,5,21,1626,1,0,0,34.6,15.4,0.017,9.7,0.8,0.55,38,1
AA,ORD,MCO,6,4,6,912,0,0,0,60.8,2.9,0.054,6.6,0.85,0.6,0,0
AA,ORD,LAX,8,5,12,467,1,0,0,59.7,10.1,0.057,10.0,0.85,0.75,0,0
UA,LAX,MCO,8,4,6,2501,0,0,0,46.4,16.6,0.001,10.0,0.75,0.6,0,0
B6,SFO,ATL,2,1,9,1265,0,0,0,13.1,6.3,0.034,8.78,0.8,0.8,0,0
B6,JFK,SFO,10,4,21,1119,0,0,0,51.9,15.2,0.083,8.43,0.9,0.8,0,0
DL,SEA,MCO,10,0,6,1662,0,0,0,85.5,10.7,0.028,5.2,0.5,0.6,0,0
NK,LAS,ATL,8,6,9,1747,1,0,0,62.9,19.7,0.015,9.96,0.55,0.8,0,0
F9,LAX,ATL,1,1,15,537,0,0,0,35.2,18.3,0.083,7.61,0.75,0.8,72,1
B6,SFO,JFK,5,6,18,1252,1,1,0,76.7,10.3,0.055,6.19,0.8,0.9,0,0
DL,SFO,DEN,2,2,18,1092,0,1,0,38.5,22.2,0.107,7.91,0.8,0.6,94,1
F9,JFK,ORD,6,3,14,2450,0,0,0,43.6,10.2,0.038,8.26,0.9,0.85,78,1
NK,MCO,ATL,5,4,17,1151,0,1,0,31.6,3.1,0.012,8.81,0.6,0.8,0,0
AA,LAX,DFW,6,4,20,1188,0,0,0,74.7,10.6,0.003,5.47,0.75,0.7,0,0
F9,ORD,LAS,4,3,14,2065,0,0,0,67.9,13.5,0.018,9.84,0.85,0.55,0,0
NK,DEN,SFO,12,4,9,1534,0,0,1,22.4,1.6,0.012,10.0,0.6,0.8,69,1
DL,ATL,DEN,6,5,18,1126,1,1,0,62.0,5.1,0.038,8.09,0.8,0.6,0,0
AA,JFK,ORD,11,1,18,615,0,1,1,43.2,0.3,0.061,10.0,0.9,0.85,21,1
F9,DFW,DEN,2,2,12,1681,0,0,0,42.8,10.8,0.01,9.06,0.7,0.6,0,0
AS,LAS,ORD,6,6,11,1828,1,0,0,78.0,8.6,0.018,7.6,0.55,0.85,0,0
WN,JFK,LAX,1,0,14,404,0,0,0,55.1,4.6,0.025,9.76,0.9,0.75,0,0
F9,DEN,SFO,10,2,17,2416,0,1,0,36.2,23.5,0.034,10.0,0.6,0.8,77,1
UA,DFW,MCO,3,1,5,267,0,0,0,52.2,12.9,0.045,7.22,0.7,0.6,0,0
AA,ATL,LAS,6,1,17,1165,0,1,0,72.4,4.6,0.029,10.0,0.8,0.55,15,1
F9,JFK,SEA,11,5,11,1788,1,0,1,50.0,8.8,0.024,7.78,0.9,0.5,0,0
WN,JFK,DFW,8,0,5,1639,0,0,0,85.3,10.3,0.009,7.33,0.9,0.7,0,0
WN,SEA,JFK,5,4,8,1518,0,1,0,86.8,8.8,0.019,9.31,0.5,0.9,0,0
UA,ATL,SFO,5,0,5,665,0,0,0,54.9,10.7,0.077,7.68,0.8,0.8,61,1
F9,LAX,SEA,7,6,6,1256,1,0,0,44.5,9.0,0.086,7.57,0.75,0.5,0,0
UA,SFO,LAS,5,3,10,1967,0,0,0,51.0,10.0,0.188,7.14,0.8,0.55,0,0
NK,SEA,LAX,3,1,20,1590,0,0,0,78.0,14.1,0.001,5.92,0.5,0.75,44,1
UA,MCO,JFK,6,3,18,422,0,1,0,49.4,0.0,0.08,4.33,0.6,0.9,15,1
NK,JFK,DFW,7,0,6,2182,0,0,0,78.2,10.8,0.058,7.89,0.9,0.7,33,1
WN,DFW,ATL,5,0,15,1270,0,0,0,22.8,13.1,0.033,9.67,0.7,0.8,0,0
NK,MCO,SEA,10,6,15,610,1,0,0,55.1,9.3,0.052,7.78,0.6,0.5,0,0
AS,JFK,LAX,5,2,9,1074,0,0,0,57.5,13.3,0.029,8.08,0.9,0.75,0,0
B6,DEN,JFK,3,0,11,1850,0,0,0,70.8,2.5,0.005,8.79,0.6,0.9,0,0
WN,SFO,DEN,11,1,12,2305,0,0,1,72.9,12.8,0.012,10.0,0.8,0.6,0,0
UA,SFO,JFK,2,2,10,1232,0,0,0,10.2,7.8,0.008,6.37,0.8,0.9,33,1
DL,LAX,SFO,4,4,22,200,0,0,0,91.4,7.6,0.043,10.0,0.75,0.8,0,0
B6,DEN,MCO,12,2,6,1957,0,0,1,46.0,16.6,0.071,9.97,0.6,0.6,0,0
B6,ORD,LAS,8,0,13,2529,0,0,0,46.2,8.1,0.037,6.04,0.85,0.55,0,0
DL,DFW,ATL,7,5,12,1708,1,0,0,41.5,12.1,0.038,8.21,0.7,0.8,0,0
DL,LAX,SEA,3,1,19,836,0,0,0,45.8,3.7,0.132,3.92,0.75,0.5,0,0
NK,DEN,LAX,4,3,6,1750,0,0,0,48.8,13.4,0.038,6.39,0.6,0.75,82,1
WN,ATL,JFK,12,3,14,2240,0,0,1,57.7,19.2,0.079,9.72,0.8,0.9,0,0
UA,SEA,LAX,1,3,11,2411,0,0,0,56.5,12.1,0.048,9.94,0.5,0.75,0,0
AA,DEN,DFW,12,3,7,282,0,1,1,43.5,15.9,0.139,10.0,0.6,0.7,36,1
B6,DFW,ATL,10,5,18,1866,1,1,0,64.3,7.1,0.039,8.28,0.7,0.8,78,1
B6,MCO,LAX,6,6,22,1998,1,0,0,62.1,19.1,0.112,7.97,0.6,0.75,41,1
F9,LAS,ORD,11,3,13,1681,0,0,1,42.1,7.1,0.012,7.54,0.55,0.85,103,1
UA,SEA,LAX,6,4,5,1018,0,0,0,68.0,7.6,0.004,8.03,0.5,0.75,0,0
AA,DFW,LAS,11,2,10,2071,0,0,1,57.8,12.0,0.009,8.82,0.7,0.55,80,1
UA,ORD,ATL,10,4,5,307,0,0,0,70.3,9.1,0.182,6.09,0.85,0.8,0,0
DL,LAS,MCO,11,0,18,949,0,1,1,41.5,13.3,0.02,8.55,0.55,0.6,0,0
F9,MCO,SEA,11,4,19,1073,0,0,1,79.0,11.5,0.007,8.54,0.6,0.5,0,0
WN,ORD,LAX,10,6,5,372,1,0,0,42.1,10.6,0.036,10.0,0.85,0.75,0,0
NK,MCO,JFK,10,5,14,1243,1,0,0,50.8,13.1,0.013,5.82,0.6,0.9,46,1
AS,SFO,DFW,2,5,10,2595,1,0,0,32.7,6.4,0.046,10.0,0.8,0.7,23,1
DL,MCO,ATL,8,5,7,903,1,1,0,64.6,9.6,0.002,10.0,0.6,0.8,0,0
F9,ATL,LAS,8,6,6,1160,1,0,0,39.4,5.9,0.012,5.24,0.8,0.55,45,1
WN,SFO,ATL,12,3,7,2021,0,1,1,52.3,0.0,0.212,9.2,0.8,0.8,52,1
F9,LAX,SEA,6,5,12,355,1,0,0,48.3,2.1,0.036,8.24,0.75,0.5,46,1
UA,LAX,JFK,9,1,11,1892,0,0,0,43.9,24.8,0.05,5.03,0.75,0.9,59,1
F9,DFW,DEN,5,2,11,2292,0,0,0,30.9,17.9,0.035,9.04,0.7,0.6,26,1
F9,LAX,SFO,9,5,13,964,1,0,0,58.0,13.2,0.048,10.0,0.75,0.8,0,0
UA,DEN,JFK,11,4,16,1808,0,1,1,48.2,4.8,0.062,10.0,0.6,0.9,21,1
F9,LAS,SFO,1,4,20,2540,0,0,0,43.1,14.4,0.016,9.97,0.55,0.8,0,0
UA,LAS,LAX,6,1,21,2261,0,0,0,38.9,15.3,0.087,10.0,0.55,0.75,0,0
DL,ORD,SFO,1,2,5,1110,0,0,0,41.5,20.3,0.017,5.0,0.85,0.8,79,1
AS,DFW,DEN,11,3,17,1999,0,1,1,70.7,6.7,0.014,5.61,0.7,0.6,118,1
F9,LAS,DFW,11,2,11,642,0,0,1,65.3,14.3,0.05,9.62,0.55,0.7,0,0
B6,SEA,DEN,11,1,14,2274,0,0,1,62.4,11.6,0.004,10.0,0.5,0.6,0,0
UA,DFW,ATL,1,5,10,1256,1,0,0,29.3,24.0,0.069,8.81,0.7,0.8,0,0
UA,SFO,MCO,1,0,18,2405,0,1,0,59.9,17.1,0.036,6.65,0.8,0.6,0,0
NK,DEN,ORD,9,5,21,1911,1,0,0,66.2,13.5,0.01,10.0,0.6,0.85,0,0
B6,ATL,LAX,4,5,11,1052,1,0,0,60.4,13.7,0.027,10.0,0.8,0.75,0,0
AA,MCO,ATL,2,1,19,792,0,0,0,61.5,5.1,0.07,10.0,0.6,0.8,0,0
UA,JFK,SFO,9,2,17,1288,0,1,0,71.0,14.9,0.035,8.39,0.9,0.8,15,1
AA,LAS,JFK,6,2,8,2262,0,1,0,83.4,15.8,0.004,6.12,0.55,0.9,102,1
DL,SFO,LAX,4,3,15,2117,0,0,0,68.6,14.5,0.004,7.38,0.8,0.75,43,1
NK,ORD,LAS,5,3,19,2246,0,0,0,71.0,8.0,0.036,10.0,0.85,0.55,98,1
NK,LAX,ATL,6,4,13,1851,0,0,0,63.6,5.0,0.003,8.23,0.75,0.8,0,0
B6,JFK,LAS,3,1,19,1888,0,0,0,63.3,7.9,0.011,8.98,0.9,0.55,0,0
B6,LAS,LAX,5,0,10,390,0,0,0,78.0,18.0,0.061,10.0,0.55,0.75,0,0
AS,LAS,JFK,9,1,9,1088,0,0,0,70.1,13.4,0.011,8.85,0.55,0.9,0,0
DL,SEA,ORD,4,0,10,393,0,0,0,37.2,7.1,0.013,10.0,0.5,0.85,0,0
F9,ORD,DEN,10,3,21,1751,0,0,0,55.9,13.9,0.02,8.94,0.85,0.6,115,1
NK,DFW,ORD,11,1,16,2044,0,1,1,45.5,15.4,0.004,10.0,0.7,0.85,0,0
B6,SFO,LAS,1,5,9,2496,1,0,0,54.2,15.3,0.001,10.0,0.8,0.55,0,0
UA,DEN,SFO,7,0,18,513,0,1,0,58.5,12.8,0.182,8.35,0.6,0.8,0,0
WN,SEA,ATL,12,5,19,1775,1,0,1,20.5,13.6,0.117,5.47,0.5,0.8,0,0
AA,ORD,LAX,11,2,15,762,0,0,1,44.0,1.5,0.079,10.0,0.85,0.75,120,1
F9,ATL,SEA,10,5,14,2365,1,0,0,66.5,10.0,0.005,10.0,0.8,0.5,0,0
NK,SFO,MCO,11,6,18,1320,1,1,1,41.9,24.5,0.013,9.42,0.8,0.6,65,1
UA,MCO,DFW,8,5,17,2495,1,1,0,60.4,12.0,0.026,9.16,0.6,0.7,0,0
UA,JFK,DFW,11,0,17,2533,0,1,1,42.2,17.4,0.044,7.66,0.9,0.7,111,1
AA,ATL,ORD,9,2,19,2497,0,0,0,62.4,17.6,0.005,7.7,0.8,0.85,0,0
F9,ATL,SFO,3,0,12,1428,0,0,0,32.9,11.6,0.018,6.53,0.8,0.8,38,1
WN,LAX,JFK,3,4,18,1736,0,1,0,48.4,15.3,0.024,9.71,0.75,0.9,59,1
DL,MCO,ORD,12,6,9,1357,1,0,1,40.4,9.7,0.107,10.0,0.6,0.85,43,1
NK,SFO,DEN,7,5,15,1055,1,0,0,48.7,6.4,0.0,6.78,0.8,0.6,0,0
AA,DFW,JFK,8,0,12,1171,0,0,0,52.0,10.4,0.014,6.14,0.7,0.9,0,0
AS,DFW,SEA,9,0,15,2519,0,0,0,80.3,6.6,0.016,8.25,0.7,0.5,0,0
UA,SEA,DEN,8,2,9,1075,0,0,0,85.2,12.2,0.066,7.6,0.5,0.6,0,0
DL,MCO,DEN,11,5,12,2380,1,0,1,69.3,19.1,0.015,10.0,0.6,0.6,83,1
NK,ORD,LAS,2,5,19,2535,1,0,0,40.2,1.6,0.028,9.72,0.85,0.55,0,0
WN,MCO,LAS,4,5,21,2328,1,0,0,71.7,14.6,0.086,8.35,0.6,0.55,0,0
UA,ORD,LAX,9,6,15,232,1,0,0,80.0,12.6,0.033,10.0,0.85,0.75,23,1
